epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6142,2.80478,4.1114,2.71263,0.00544,0.95,0.05146,0.01238,2.83269,5.3676,2.50969,2.858e-05,2.858e-05,2.858e-05
2,51.2496,2.18611,4.08019,2.24757,0.00769,1,0.14371,0.04138,2.37675,4.69847,2.15261,7.00353e-05,7.00353e-05,7.00353e-05
3,75.6887,2.07078,3.65544,2.01487,0.01023,1,0.44036,0.10556,2.0091,4.5247,1.83243,0.000109793,0.000109793,0.000109793
4,97.1465,1.53249,3.27185,1.63453,0.01633,1,0.35776,0.11726,1.80513,4.46764,1.72011,0.000147853,0.000147853,0.000147853
5,118.604,1.44799,2.67603,1.52366,0.02205,1,0.54534,0.18121,1.29019,4.06329,1.38387,0.000184215,0.000184215,0.000184215
6,138.74,1.24908,2.26167,1.30745,0.03818,1,0.51162,0.28882,1.00167,3.73186,1.22801,0.00021888,0.00021888,0.00021888
7,157.127,1.24481,2.16963,1.39184,0.07172,1,0.71285,0.48917,0.79213,3.45812,1.08364,0.000251847,0.000251847,0.000251847
8,183.624,1.11983,2.30683,1.30626,0.07492,1,0.94865,0.54178,0.77512,3.54994,1.05059,0.000283116,0.000283116,0.000283116
9,206.788,1.13683,1.77074,1.21,0.07724,1,0.6231,0.38904,1.12931,3.65552,1.20167,0.000312688,0.000312688,0.000312688
10,230.491,1.14936,1.73175,1.24417,0.05032,1,0.86148,0.51503,1.0942,3.56249,1.15218,0.000340562,0.000340562,0.000340562
11,256.54,1.18786,1.85959,1.34177,0.91754,0.25367,0.91695,0.55129,0.96401,3.26222,1.10415,0.000366739,0.000366739,0.000366739
12,283.001,1.191,1.57907,1.28879,0.92506,0.28526,0.95409,0.56239,0.99843,3.12945,1.1397,0.000391217,0.000391217,0.000391217
13,309.286,1.11604,1.57906,1.23094,0.92988,0.30735,0.95611,0.63535,1.19408,3.1507,1.27031,0.000413998,0.000413998,0.000413998
14,335.706,1.05479,1.42721,1.18025,0.93938,0.3635,0.9577,0.67343,1.25759,3.06095,1.35185,0.000435082,0.000435082,0.000435082
15,362.26,1.02385,1.50562,1.18785,0.98871,0.3,0.61384,0.39971,1.17538,2.85797,1.28435,0.000454468,0.000454468,0.000454468
16,391.146,0.99467,1.59298,1.24429,1,0.28864,0.60312,0.42138,0.99144,2.9731,1.17072,0.000472156,0.000472156,0.000472156
17,418.387,1.07636,1.53731,1.16397,0.98635,0.5,0.54725,0.4265,0.74124,2.45053,0.93486,0.000488146,0.000488146,0.000488146
18,445.15,0.99566,1.43784,1.15885,0.98033,0.5,0.56857,0.42856,0.93471,2.39338,1.00583,0.000502439,0.000502439,0.000502439
19,472.184,0.98484,1.36052,1.16636,0.99433,0.5,0.74625,0.5372,1.02314,2.49931,1.05962,0.000515034,0.000515034,0.000515034
20,500.597,0.95782,1.32289,1.14462,1,0.49281,0.995,0.69201,0.85133,2.66071,0.99961,0.000525932,0.000525932,0.000525932
21,525.531,1.03488,1.41028,1.10597,1,0.48943,0.995,0.66473,0.77677,2.79322,1.04728,0.000535132,0.000535132,0.000535132
22,551.272,1.0789,1.42804,1.17152,0.97192,0.5,0.995,0.63553,1.00785,2.74251,1.22242,0.000542634,0.000542634,0.000542634
23,578.266,0.88379,1.28652,1.18148,0.86966,0.5,0.995,0.6437,1.03765,2.48183,1.26124,0.000548439,0.000548439,0.000548439
24,606.27,1.0163,1.36954,1.25127,0.82636,1,0.995,0.6198,1.03552,2.58647,1.24118,0.000552546,0.000552546,0.000552546
25,629.239,1.07408,1.3839,1.18336,0.78544,0.98149,0.995,0.64755,0.92406,2.64132,1.12841,0.000554955,0.000554955,0.000554955
26,654.046,0.86373,1.21205,1.12098,0.79744,0.95122,0.995,0.60673,0.956,2.62908,1.10637,0.000555667,0.000555667,0.000555667
27,681.709,0.88193,1.32896,1.09419,0.83355,0.91799,0.995,0.62295,0.87493,2.52334,1.02212,0.000554681,0.000554681,0.000554681
28,708.339,0.83652,1.13633,1.09556,0.98011,0.89745,0.995,0.72237,0.8111,2.03833,0.9651,0.000551997,0.000551997,0.000551997
29,734.04,0.78668,1.06464,1.0811,0.98011,0.89745,0.995,0.72237,0.8111,2.03833,0.9651,0.000547616,0.000547616,0.000547616
30,761.349,0.89749,1.15614,1.16076,0.96485,0.90322,0.995,0.86053,0.79844,1.87216,0.93615,0.000541537,0.000541537,0.000541537
31,785.495,0.74909,1.00759,1.04763,0.94784,0.94346,0.995,0.90488,0.78468,1.89566,0.92282,0.00053376,0.00053376,0.00053376
32,811.333,0.8461,1.11847,1.08366,0.9379,1,0.995,0.86624,0.75118,1.81308,0.8959,0.000524286,0.000524286,0.000524286
33,838.884,0.92362,1.12447,1.14574,0.9379,1,0.995,0.86624,0.75118,1.81308,0.8959,0.000513114,0.000513114,0.000513114
34,865.054,0.86851,1.18038,1.1578,0.92758,1,0.995,0.86764,0.73062,1.72368,0.90664,0.000495291,0.000495291,0.000495291
35,888.425,0.95311,1.15339,1.15792,0.93937,1,0.995,0.87808,0.71224,1.62773,0.90118,0.000466997,0.000466997,0.000466997
36,912.528,0.80267,1.08497,1.03779,0.94445,1,0.995,0.86922,0.68965,1.55005,0.87711,0.000438703,0.000438703,0.000438703
37,937.757,0.79723,1.02869,1.03211,0.94445,1,0.995,0.86922,0.68965,1.55005,0.87711,0.000410409,0.000410409,0.000410409
38,964.567,0.81976,1.1757,1.09795,0.94518,1,0.995,0.85913,0.68949,1.43838,0.87049,0.000382115,0.000382115,0.000382115
39,990.963,0.79123,1.04203,1.07358,0.94076,1,0.995,0.90456,0.72951,1.4393,0.88804,0.00035382,0.00035382,0.00035382
40,1018.48,0.86301,1.05334,1.08367,0.94287,0.99734,0.995,0.8536,0.76508,1.40419,0.91508,0.000325526,0.000325526,0.000325526
41,1044.02,0.82761,1.58956,1.2237,0.94287,0.99734,0.995,0.8536,0.76508,1.40419,0.91508,0.000297232,0.000297232,0.000297232
42,1071.17,0.68495,1.36491,1.11396,0.93653,1,0.995,0.87184,0.84217,1.48666,0.96035,0.000268938,0.000268938,0.000268938
43,1098.38,0.72188,1.33441,1.06936,0.91906,0.99684,0.995,0.80949,0.90239,1.67199,1.02483,0.000240644,0.000240644,0.000240644
44,1124.93,0.71967,1.26499,1.09297,0.89903,1,0.995,0.73818,1.017,1.90014,1.10878,0.000212349,0.000212349,0.000212349
45,1150.25,0.71981,1.32791,1.06063,0.89903,1,0.995,0.73818,1.017,1.90014,1.10878,0.000184055,0.000184055,0.000184055
46,1176.33,0.77733,1.32515,1.08969,0.90713,0.99017,0.995,0.73582,1.03265,1.92112,1.10435,0.000155761,0.000155761,0.000155761
47,1203.64,0.74338,1.39958,1.13187,0.9264,1,0.995,0.73402,0.97749,1.77475,1.04346,0.000127467,0.000127467,0.000127467
48,1230.4,0.70932,1.47864,0.97585,0.93069,1,0.995,0.75062,0.93832,1.69259,1.0033,9.91726e-05,9.91726e-05,9.91726e-05
49,1250.52,0.67163,1.29225,1.02238,0.93069,1,0.995,0.75062,0.93832,1.69259,1.0033,7.08784e-05,7.08784e-05,7.08784e-05
50,1265.43,0.63182,1.38383,1.00573,0.93614,1,0.995,0.80087,0.90016,1.62631,0.97913,4.25842e-05,4.25842e-05,4.25842e-05
